,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,5.5001516,9.882143,3.9493794,4.6097846,6.584733,3.4589512,5.9809694,6.7358704,4.4359617,3.2130997,4.084975,4.193578,4.4756794,4.4643188,4.522873,4.7740173,3.9220145,5.6735854,5.2200685,5.119216,6.272653,5.4955153,4.1384835,6.0203295,5.839953,4.6922703,5.82038,6.1924353,4.7323923,5.6877694,3.6293914,4.4319572,5.8402286,4.8599586,3.299843,7.0162735,5.030616,5.7585783,4.851429,6.5612698,6.2738805,3.3707404,5.450021,4.5645943,4.3972397,4.855341,4.0652227,4.4750566,5.4640694,5.08471,5.679601,5.4282746,5.2875915,4.211482,6.2403607,4.7573895,6.795498,5.7789316,5.2709866,5.667746
11,2.8496192,11.280274,6.8491116,5.3110843,4.217155,5.6194563,5.02754,7.731147,4.4873466,3.5682406,2.989077,3.5240252,4.677518,4.0636373,4.536926,4.3235393,3.602178,5.447045,4.9902563,4.883057,6.034207,5.181383,3.861449,5.874387,5.8624997,4.3769298,5.415869,6.365184,4.4983664,5.799155,4.192582,4.9400578,5.518108,4.6336503,3.3027902,7.077105,5.2107315,5.267726,5.677837,6.631372,6.2735567,3.2574353,5.4708376,4.7744074,4.478941,4.7721276,4.190116,4.4112816,5.138772,4.399129,5.414724,5.2928824,5.164281,4.7306633,6.14155,4.8439007,6.5001187,5.1217074,5.503,5.6184964
12,2.617664,8.582539,8.5408535,6.667081,8.94145,1.1161451,6.390103,6.3248677,4.694935,3.5394695,3.9613204,4.279486,4.7962055,5.0272703,4.4048743,5.564003,4.9902177,6.4348354,5.135313,4.3055134,5.6212773,5.2981243,4.171462,5.838657,5.249272,4.559179,5.823366,5.5892043,5.5203004,5.4468513,4.0003185,4.956198,5.46826,4.7693396,3.7826035,6.7212396,4.45599,5.726799,4.531825,6.0717926,6.145333,3.2981932,5.763031,4.319672,4.5573983,4.6705546,3.9587016,4.77734,5.0386114,5.162235,5.397909,5.5733867,4.5386715,4.1849003,5.9400506,5.233188,6.562009,6.320415,4.5363197,4.963738
13,6.2339144,10.022587,5.2400804,3.5954525,1.0462109,8.288977,4.5275664,7.9470916,4.4076176,3.5754387,2.394905,3.5267558,4.6228,3.689811,4.369787,3.8165855,3.4614813,4.785681,5.10581,5.0959644,6.270123,4.9158177,4.006969,5.8099627,5.9579687,4.2186747,5.5669446,6.6496015,4.206252,5.769828,4.3047266,4.7798095,5.4762855,4.9072075,2.9427469,6.809736,5.357065,5.3118253,5.658821,6.6113563,6.4053874,3.540392,5.6537433,5.0505476,4.7611847,4.77969,4.2060685,4.085739,5.2756276,4.6862316,5.608931,5.0089583,5.446787,4.8781595,6.336099,4.6760354,6.428233,4.760949,5.8152223,5.7977676
14,5.101865,9.161835,5.7413893,4.7596917,0.6807963,8.126219,3.966408,8.13457,4.4135284,3.9770825,2.1297843,3.0354104,4.549986,3.6198914,4.386553,3.8216908,3.467342,5.1263227,5.060826,4.910005,6.0100245,4.895616,3.928062,5.583877,6.0129557,4.357049,5.431763,6.7391,4.1536155,5.620452,4.4504595,4.903819,5.3365283,4.3978095,2.924724,7.083136,5.169873,5.211193,5.995013,6.6528425,6.2372975,3.4033654,5.698775,4.9068727,4.468233,4.802724,4.2684827,4.221013,4.9708657,4.2479997,5.346425,5.042567,5.170188,5.1937675,6.213675,4.650933,6.3834243,4.6765676,5.788971,5.684743
15,3.3199687,5.112872,6.8693147,4.721713,4.573276,4.4533067,5.3912826,6.9290037,4.5374794,4.253944,3.7303605,3.1809993,4.281927,4.4030504,4.3680396,4.848033,4.483505,6.4457994,5.2034173,4.5397134,5.5286317,5.1469984,4.1166124,5.3378243,5.762346,4.847625,5.574494,6.317671,4.816604,5.096161,4.0139723,4.7413783,5.3578753,3.9441144,3.1711407,7.3691883,4.36726,5.657973,5.515823,6.4026265,5.7031937,3.264554,5.8553143,4.256063,4.022669,4.9149747,4.1253858,4.7153544,4.6320014,4.343856,5.050769,5.423094,4.4702277,5.1771517,5.8428693,4.7339706,6.5797486,5.815418,5.047003,5.130634
16,5.7213945,9.765533,4.640196,4.626094,6.528419,3.4839232,6.086247,6.629043,4.530473,3.38214,4.0423245,4.0622096,4.4316216,4.443294,4.4331384,4.80799,4.092756,5.7437644,5.2257853,5.0022836,6.1566978,5.423164,4.1647043,5.87309,5.8019376,4.6716757,5.8199162,6.224568,4.7776265,5.618641,3.7096407,4.431395,5.7684193,4.7773514,3.2695897,6.9916615,4.9149594,5.7422595,4.871071,6.537253,6.1987324,3.3847475,5.5560136,4.552812,4.3743596,4.8510876,4.0605297,4.5140953,5.3779235,5.0342193,5.6220613,5.4109993,5.18802,4.298834,6.2275095,4.762073,6.7739205,5.7842913,5.216533,5.5591702
17,2.6997168,11.403269,6.655553,5.9517255,4.715619,5.23103,5.1018553,7.6792607,4.5327296,3.5458536,2.936922,3.5733013,4.675007,4.095232,4.5340405,4.3766713,3.5678835,5.546828,4.9877563,4.870678,5.9973803,5.2108264,3.8563542,5.861225,5.8563557,4.4126706,5.410494,6.365772,4.54348,5.7871933,4.2049847,4.9459724,5.519701,4.6919026,3.3189957,7.102614,5.181163,5.261253,5.636592,6.650161,6.2280746,3.2242677,5.4677653,4.732871,4.45694,4.782777,4.1955347,4.458797,5.114231,4.3732843,5.3703165,5.328072,5.139793,4.677815,6.127579,4.8557973,6.521146,5.175133,5.4544377,5.5805616
18,6.9441414,9.588457,2.6645346,4.6736445,6.136862,4.21555,5.71933,6.767694,4.1778717,3.0339344,3.529589,4.4206047,4.5733423,4.4267554,4.7725077,4.600355,3.869843,5.5210557,5.211738,5.3481317,6.4235306,5.651732,4.089975,6.4191594,5.873,4.837724,5.867163,6.1506734,4.7453275,5.797955,3.8694665,4.6724935,5.8260365,4.947225,3.433728,7.1019306,5.315721,5.759161,4.8490415,6.6512737,6.243762,3.1433346,5.3444705,4.592642,4.5706983,4.6734557,4.3361487,4.489232,5.5977464,5.123378,5.692961,5.331076,5.5046215,4.137818,6.3019667,4.959522,6.735977,5.8271437,5.2047043,5.79385
19,7.048765,10.332897,7.127254,5.069882,4.8329625,5.5509167,5.7043424,6.8136315,4.4963927,3.7150145,2.652187,3.7961104,4.4987435,4.168845,4.521628,4.4896626,4.3421297,5.596577,5.113539,4.852959,5.942078,5.2840023,4.0423393,5.928436,5.7068143,4.6294556,5.722962,6.330198,4.8713346,5.6389503,4.5609455,4.9941893,5.3921514,4.646051,3.397716,7.0123215,5.075954,5.464809,5.2362266,6.617699,5.933672,3.0560048,5.771906,4.6715403,4.65377,4.520375,4.497569,4.6231003,5.1721935,4.689247,5.3700047,5.159083,5.1611233,4.60226,6.238114,5.1345334,6.4809337,5.5816526,5.0377383,5.3788733
