,V1,V2,k1$cluster
D19_207,-1.77888180541219,2.74933642007565,1
D19_208,-1.0470375915978,1.06517628269085,2
D19_209,-1.41197948690953,2.6628861356296,2
D19_21,1.80541411512679,4.4719515881198,1
D19_210,0.0342997457703508,0.746080241582196,2
D19_211,-1.16894757521578,0.996755591534972,2
D19_212,0.822306472576086,-1.32322770868811,2
D19_213,-0.0434477603827825,-0.184228039746628,2
D19_214,-0.814437942896868,1.98284882906179,2
D19_215,-0.50797019857439,2.96427181229589,1
D19_216,0.863290150727371,-1.35498643839815,2
D19_217,-1.31521450416619,-4.74675341133848,3
D19_218,-0.115250430763608,-4.41202687845705,3
D19_219,-0.194886739713453,2.85727774334238,1
D19_22,0.675882816237698,4.7109579542704,1
D19_220,0.426884508878085,-0.796940537583632,2
D19_221,0.289552380060016,3.13145062051137,1
D19_222,0.836992049768541,-1.37709563002899,2
D19_223,-1.4123898901122,-0.872279773003977,2
D19_224,-0.0265720168206617,-3.16819474983198,2
D19_225,0.741660551060483,-0.666955987348917,2
D19_226,-0.347559945083198,-3.97860606203095,3
D19_227,0.624495513496794,-1.16845597967772,2
D19_228,-1.86798161054824,3.51751368462614,1
D19_229,-1.38602583817241,-0.861407950062425,2
D19_23,-1.57102755833422,2.55984408884762,1
D19_230,-0.0574933837709601,-7.42000297862843,3
D19_24,1.70330779043861,4.63934481545712,1
D19_25,-0.220259246232481,-4.31133543065361,3
D19_26,-1.64891743961837,3.07760615376051,1
D19_27,0.585322861818777,4.83930643374529,1
D19_28,-0.631339223076499,4.75394036896945,1
D19_29,0.751258517696921,3.4381884960573,1
D19_3,-0.589333130633215,-0.1262144922658,2
D19_30,-0.650941195739522,0.27388190072077,2
D19_31,-1.29001650503608,1.77114262115512,1
D19_32,0.585745421317745,3.67092674876051,1
D19_33,-0.464070267740402,4.93450642187071,1
D19_34,-1.08461277276953,0.452664536838375,2
D19_35,2.1176003250392,1.34520252442389,2
D19_36,-1.65837222354755,3.6388576463555,1
